start_fresh,asset_type,snapshot_name,snapshot_id,source_vm_name,os_distro,size_gb,disk_format,status,migratable,licensed,migration_method,reason,created_at
"true","glance_image","u24Backend-snap-20260409112908","7a24c309-39d1-45d0-9d0d-587a07aa15e7","","ubuntu","36.13","vhd","active","true","false","glance-export","downloadable saved image","2026-04-09"
"true","volume_snapshot","vol-snap-3fc959b2","3fc959b2-4b7f-435c-8d95-e2b0eb09d5df","1a829f75-2502-434c-8b83-622c3ef0e7ee","","50","raw","available","true","false","cinder-export","volume snapshot — exportable","2026-05-16"
"true","volume_snapshot","vol-snap-5e63a266","5e63a266-99d6-42d4-b859-3c4db273c083","b3578e10-bbb5-4680-9ba6-ce7b9b6499a0","","50","raw","available","true","false","cinder-export","volume snapshot — exportable","2026-05-16"
"true","volume_snapshot","vol-snap-c34ad75f","c34ad75f-022c-44fb-ad22-a20e00cc2b71","8e7ea268-58cb-4678-9e7a-eee0bd8376bc","","50","raw","available","true","false","cinder-export","volume snapshot — exportable","2026-05-16"
"false","volume_snapshot","vol-snap-d38b9d32","d38b9d32-944b-4304-ac85-f700442c20ed","342dd659-32da-49be-9ab7-8a2318d39871","","75","raw","available","true","false","cinder-export","volume snapshot — exportable","2026-03-25"
"false","volume_snapshot","vol-snap-f13493e5","f13493e5-2f63-4aa6-8dfa-385845e096a3","df948052-f09e-40a3-9e71-99dd767a46f3","","75","raw","available","true","false","cinder-export","volume snapshot — exportable","2026-03-25"
"true","volume_snapshot","vol-snap-fb5fa6fd","fb5fa6fd-47e5-4275-9254-cff289c4113d","fc572074-c19e-4348-ab51-d6f055f284e1","","75","raw","available","true","false","cinder-export","volume snapshot — exportable","2026-05-15"
"true","glance_image","win2019-snap-202604220708","cd203a46-a760-40e7-9a87-86339e47ce80","","windows","6.19","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-04-22"
"true","glance_image","win2019-snap-202604231450","111dc91d-d5f9-4b60-8de5-135cb5398338","","windows","8.66","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-04-23"
"true","glance_image","win2019-snap-202604231523","18b288f2-34cb-4aac-8e14-4fdb4af9206e","","windows","8.66","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-04-23"
"false","glance_image","win2019ospc","07468487-0ce5-4d7b-8065-808954f21f51","","windows","6.8","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-04-22"
"true","glance_image","Windows Server 2019Re-snap-20260409015319","5bda1f8e-5144-4085-bc6d-3843c0744eb1","","windows","9.23","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-04-08"
"true","glance_image","Windows Server 2019Re-snap-20260416211842","67a06650-0f4d-4a54-a188-7231a678a3c1","","windows","10.2","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-04-16"
"true","glance_image","Windows Server 2019Re-snap-20260417000935","ea39e66f-06a7-45a9-a3ae-c8d45ca55dce","","windows","10.2","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-04-16"
"true","glance_image","Windows Server 2019Re-snap-20260417001640","74530a11-1266-4339-abe2-e557ec86c25b","","windows","10.2","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-04-16"
"true","glance_image","Windows Server 2019Re-snap-20260417010737","7fc6d12c-d0e2-4fe5-8808-7a90d6d89b8b","","windows","10.2","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-04-16"
"true","glance_image","Windows Server 2019Re-snap-20260417091630","9db9e0b8-2983-4ac0-a535-c7c6e66082e6","","windows","10.2","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-04-17"
"true","glance_image","Windows Server 2019Re-snap-20260417101447","a057ab1a-2d18-4318-9d58-c12f634b625a","","windows","10.2","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-04-17"
"true","glance_image","windows2016-snap-202604220713","f7d0010d-67c9-432c-8970-a5bd04b2a983","","windows","6.02","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-04-22"
"true","glance_image","windows2016-snap-202604231450","bb36f98d-1bda-4b2d-b6cb-089b756963fe","","windows","11.2","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-04-23"
"true","glance_image","windows2016-snap-202604231523","aea39a50-dc0b-430f-9c14-1cf2fd1b4290","","windows","11.2","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-04-23"
"true","glance_image","windows2016-snap-202604240212","de33b6c4-e247-42cb-a032-e8a389697ceb","","windows","11.2","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-04-24"
"true","glance_image","windows2016opsc","7b60b2ec-2038-4573-8de9-e8b6d26f2b16","","windows","6.26","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-04-22"
"true","glance_image","windows_2016-104.130.26.194-snap-202604290813","29b9305c-27b5-4c87-b0d7-9a19a0bfdda5","","windows","11.33","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-04-29"
