collected_at,service_type,region,name,resource_id,status,created,updated,public_ips,private_ips,flavor_id,image_id,image_name,image_os_distro,image_os_version,image_os_type,image_release_id,image_lookup_error,image_schedule,hypervisor_id,size_gb,attachments,protocol,node_count,datastore_type,datastore_version,backup_schedule_enabled,ha_group_id,email_address,backup_container,is_encrypted,datacenter,details_json,cidr,gateway_ip,network_id,object_count,bytes_used,cdn_enabled,stack_status_reason
2026-06-30T10:39:00.962232Z,block_storage_volume,iad,opscwin2016-20260510-104354-snap-202605101044-snapwin-cinder-export-20260515-150224,8616df5e-a81b-4830-b6d7-f1bf4a606945,in-use,,,,,,1ffe6fc1-a3e1-4a69-9151-a145d965d10e,opscwin2016-20260510-104354-snap-202605101044,com.microsoft.server,2016,windows,windows_2016,,,,75,"[{""server_id"": ""467cf940-3b81-43d6-985f-3cbe90ed98e9"", ""attachment_id"": ""5b1f6af6-769a-48c8-98fa-62c0fe2400ab"", ""host_name"": null, ""volume_id"": ""8616df5e-a81b-4830-b6d7-f1bf4a606945"", ""device"": ""/dev/xvdi"", ""id"": ""8616df5e-a81b-4830-b6d7-f1bf4a606945""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962239Z,block_storage_volume,iad,opscwin2016-20260510-104354-snap-202605101044-snapwin-cinder-export-20260515-011013,347987ce-b1dc-42f2-a4fe-0f710e10cc77,in-use,,,,,,1ffe6fc1-a3e1-4a69-9151-a145d965d10e,opscwin2016-20260510-104354-snap-202605101044,com.microsoft.server,2016,windows,windows_2016,,,,75,"[{""server_id"": ""467cf940-3b81-43d6-985f-3cbe90ed98e9"", ""attachment_id"": ""2ecd98b6-f72e-40a0-bfaf-52c082992dac"", ""host_name"": null, ""volume_id"": ""347987ce-b1dc-42f2-a4fe-0f710e10cc77"", ""device"": ""/dev/xvdh"", ""id"": ""347987ce-b1dc-42f2-a4fe-0f710e10cc77""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962245Z,block_storage_volume,iad,win2019-snap-202604231523-snapwin-cinder-export-20260514-183706,c8a86704-aa01-4255-9c74-0c3a1f1ba12f,in-use,,,,,,18b288f2-34cb-4aac-8e14-4fdb4af9206e,win2019-snap-202604231523,com.microsoft.server,2019,windows,windows_2019,,,,75,"[{""server_id"": ""467cf940-3b81-43d6-985f-3cbe90ed98e9"", ""attachment_id"": ""70b3faef-b69f-411c-be9b-f437aab71e9f"", ""host_name"": null, ""volume_id"": ""c8a86704-aa01-4255-9c74-0c3a1f1ba12f"", ""device"": ""/dev/xvdf"", ""id"": ""c8a86704-aa01-4255-9c74-0c3a1f1ba12f""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962252Z,block_storage_volume,iad,opscwin2016-20260509-161905-snap-202605091619-snapwin-cinder-export-20260514-183705,102bf205-c25d-4285-8e0e-c66a8f86d6b1,in-use,,,,,,83c2cfd5-b479-4898-b7c9-f0930498f617,opscwin2016-20260509-161905-snap-202605091619,com.microsoft.server,2016,windows,windows_2016,,,,75,"[{""server_id"": ""467cf940-3b81-43d6-985f-3cbe90ed98e9"", ""attachment_id"": ""2b988a24-41fe-4ccf-b3f8-83b38c2b78dc"", ""host_name"": null, ""volume_id"": ""102bf205-c25d-4285-8e0e-c66a8f86d6b1"", ""device"": ""/dev/xvde"", ""id"": ""102bf205-c25d-4285-8e0e-c66a8f86d6b1""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962258Z,block_storage_volume,iad,opscwin2016-20260509-161905-snap-202605091619-snapwin-cinder-export-20260514-183640,3dbd77a1-fe19-45b7-8129-346a5a51c34d,in-use,,,,,,83c2cfd5-b479-4898-b7c9-f0930498f617,opscwin2016-20260509-161905-snap-202605091619,com.microsoft.server,2016,windows,windows_2016,,,,75,"[{""server_id"": ""467cf940-3b81-43d6-985f-3cbe90ed98e9"", ""attachment_id"": ""0f82a196-eedf-4a30-8ad8-d361129f02df"", ""host_name"": null, ""volume_id"": ""3dbd77a1-fe19-45b7-8129-346a5a51c34d"", ""device"": ""/dev/xvdg"", ""id"": ""3dbd77a1-fe19-45b7-8129-346a5a51c34d""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962265Z,block_storage_volume,iad,windows2016-snap-202604240212-snapwin-cinder-export-20260514-014128,da971603-7943-4e70-a92c-183becb4da0a,in-use,,,,,,de33b6c4-e247-42cb-a032-e8a389697ceb,windows2016-snap-202604240212,com.microsoft.server,2016,windows,windows_2016,,,,75,"[{""server_id"": ""467cf940-3b81-43d6-985f-3cbe90ed98e9"", ""attachment_id"": ""352421d5-7153-4859-9b02-3601b3cc62f1"", ""host_name"": null, ""volume_id"": ""da971603-7943-4e70-a92c-183becb4da0a"", ""device"": ""/dev/xvdc"", ""id"": ""da971603-7943-4e70-a92c-183becb4da0a""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962271Z,block_storage_volume,iad,System disk for 09d88d96-901d-4741-9a61-38bfbd466e84,2e5ecb0d-aea1-4c11-a877-2c7160fc379b,in-use,,,,,,7066a6ed-0263-49dd-a531-28d4e37b3882,Windows Server 2019,com.microsoft.server,2019,windows,windows_2019,,,,50,"[{""server_id"": ""09d88d96-901d-4741-9a61-38bfbd466e84"", ""attachment_id"": ""e69293e8-a93b-41cb-b605-14717aa526b0"", ""host_name"": null, ""volume_id"": ""2e5ecb0d-aea1-4c11-a877-2c7160fc379b"", ""device"": ""/dev/xvda"", ""id"": ""2e5ecb0d-aea1-4c11-a877-2c7160fc379b""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962277Z,block_storage_volume,iad,jumphostiad2,50528735-4739-4d39-af92-c9767026532b,in-use,,,,,,,,,,,,,,,500,"[{""server_id"": ""77fbe978-4b0b-43cd-8722-47a495827d49"", ""attachment_id"": ""20147c7a-0319-4ff6-b2f0-d2ed02a976e3"", ""host_name"": null, ""volume_id"": ""50528735-4739-4d39-af92-c9767026532b"", ""device"": ""/dev/xvdb"", ""id"": ""50528735-4739-4d39-af92-c9767026532b""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962283Z,block_storage_volume,iad,System disk for 77fbe978-4b0b-43cd-8722-47a495827d49,a0589726-656e-41e2-ace1-a7ae1984ebb2,in-use,,,,,,2fd07c5d-3104-4931-882b-4fe6a115c3bd,Ubuntu 24.04 LTS (Cloud),com.ubuntu,24.04,linux,ubuntu_24.04_lts_cloud,,,,50,"[{""server_id"": ""77fbe978-4b0b-43cd-8722-47a495827d49"", ""attachment_id"": ""91fc77bf-e71a-4a86-8593-cdb442d315f0"", ""host_name"": null, ""volume_id"": ""a0589726-656e-41e2-ace1-a7ae1984ebb2"", ""device"": ""/dev/xvda"", ""id"": ""a0589726-656e-41e2-ace1-a7ae1984ebb2""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962293Z,block_storage_volume,iad,System disk for 467cf940-3b81-43d6-985f-3cbe90ed98e9,cfb49d89-f836-4a57-a79f-2528fd30b61c,in-use,,,,,,2fd07c5d-3104-4931-882b-4fe6a115c3bd,Ubuntu 24.04 LTS (Cloud),com.ubuntu,24.04,linux,ubuntu_24.04_lts_cloud,,,,50,"[{""server_id"": ""467cf940-3b81-43d6-985f-3cbe90ed98e9"", ""attachment_id"": ""eb8e01e4-be5a-4617-af5d-6dba19a637fb"", ""host_name"": null, ""volume_id"": ""cfb49d89-f836-4a57-a79f-2528fd30b61c"", ""device"": ""/dev/xvda"", ""id"": ""cfb49d89-f836-4a57-a79f-2528fd30b61c""}]",,,,,,,,,,,,,,,,,,
