source_resource_type,region,target_region,server_name,target_server_name,server_id,include_in_deploy,source_flavor_id,source_flavor_name,source_ram_mb,source_vcpus,source_disk_gb,source_image_name,source_image_os_distro,source_image_os_version,target_flavor_id,target_flavor_name,target_ram_mb,target_vcpus,target_disk_gb,target_hourly_rate_usd,target_daily_cost_min_usd,target_monthly_cost_min_usd,recommended_target_image_name,image_recommendation_note,cloud_init_user_data,boot_volume_source_size_gb,boot_volume_source_device,boot_volume_target_device,needs_floating_ip,floating_network,boot_strategy,boot_from_volume_size_gb,attached_data_volumes_count,conversion_note,alt_1,alt_2,alt_3
cloud_server,iad,IAD,dbian10new,dbian10new,9262a99e-6bd3-495d-bacd-06a015b29088,yes,general1-2,2 GB General Purpose v1,2048,2,40,Debian 10 (Buster) (PVHVM),debian,10,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,Debian 11,debian_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,gp.0.4.16 (10be94cd-30c9-4681-bd58-e770d65f8837) score=4.3000,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=0.9000,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=1.0000
cloud_server,iad,IAD,u20,u20,f4dd8084-20c4-40a4-8784-7db8c6c5162a,yes,general1-1,1 GB General Purpose v1,1024,1,20,Ubuntu 20.04 LTS (Focal Fossa) (Cloud),ubuntu,20.04,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 20.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,1,,gp.0.2.4 (4daf46f4-69f8-4057-9873-9160a93b1b0d) score=2.1000,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=3.8000,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=3.2000
cloud_server,iad,IAD,rocky9,rocky9,12962165-11ca-498c-8a2f-db69947f9264,yes,general1-1,1 GB General Purpose v1,1024,1,20,Rocky 9 (PVHVM),rocky,9,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,Rocky Linux 9,rocky_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,gp.0.2.4 (4daf46f4-69f8-4057-9873-9160a93b1b0d) score=2.1000,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=3.8000,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=3.2000
cloud_server,iad,IAD,alma8,alma8,f4680994-c54f-473a-8549-b6fb1176088c,yes,compute1-4,3.75 GB Compute v1,3840,2,0,AlmaLinux 8 (PVHVM),org.almalinux,8,4daf46f4-69f8-4057-9873-9160a93b1b0d,gp.0.2.4,4096,2,40,0.0490,1.18,35.28,AlmaLinux 8,alma_nearest;boot_volume_metadata_fallback,,50,/dev/xvda,/dev/vda,yes,PUBLICNET,boot_from_volume,50,0,,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=0.6233,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=0.2100,gp.0.2.8 (6c13ae13-e9f5-482e-98f4-a2440cd681e8) score=0.4233
cloud_server,iad,IAD,dbian12,dbian12,8d7309ea-f39c-417b-8f50-c28f76ffd9db,yes,compute1-4,3.75 GB Compute v1,3840,2,0,Debian 12 (Bookworm) (PVHVM),org.debian,12,4daf46f4-69f8-4057-9873-9160a93b1b0d,gp.0.2.4,4096,2,40,0.0490,1.18,35.28,Debian 12,debian_nearest;boot_volume_metadata_fallback,,50,/dev/xvda,/dev/vda,yes,PUBLICNET,boot_from_volume,50,0,,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=0.6233,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=0.2100,gp.0.2.8 (6c13ae13-e9f5-482e-98f4-a2440cd681e8) score=0.4233
cloud_server,iad,IAD,Alma9,Alma9,de2cc03b-b53a-4f32-8b1b-8a3c9d757069,yes,compute1-8,7.5 GB Compute v1,7680,4,0,AlmaLinux 9 (PVHVM),org.almalinux,9,57e73c80-1639-4689-b569-e6c4bc114963,gp.0.4.8,8192,4,80,0.1060,2.54,76.32,AlmaLinux 9,alma_nearest;boot_volume_metadata_fallback,,50,/dev/xvda,/dev/vda,yes,PUBLICNET,local_boot_use_flavor_disk,,1,,gp.0.4.12 (7ba21590-21ce-4c90-ab95-5a81121038c8) score=0.2100,gp.0.4.16 (10be94cd-30c9-4681-bd58-e770d65f8837) score=0.4233,gp.0.8.16 (a1ebc4a8-57f7-4036-a11e-cdf9b6743a7c) score=1.0233
cloud_server,iad,IAD,rocky8,rocky8,7afcc45d-4080-475e-a771-8ee1f265ef5c,yes,compute1-8,7.5 GB Compute v1,7680,4,0,Rocky 8 (PVHVM),org.rockylinux,8,57e73c80-1639-4689-b569-e6c4bc114963,gp.0.4.8,8192,4,80,0.1060,2.54,76.32,Rocky Linux 8,rocky_nearest;boot_volume_metadata_fallback,,50,/dev/xvda,/dev/vda,yes,PUBLICNET,local_boot_use_flavor_disk,,0,,gp.0.4.12 (7ba21590-21ce-4c90-ab95-5a81121038c8) score=0.2100,gp.0.4.16 (10be94cd-30c9-4681-bd58-e770d65f8837) score=0.4233,gp.0.8.16 (a1ebc4a8-57f7-4036-a11e-cdf9b6743a7c) score=1.0233
database_instance,iad,IAD,HA percona 8-02,HA percona 8-02,0651b25a-9810-41d2-ac00-d30aae53fcdc,yes,,,,,5,,,,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 22.04,db_instance_to_linux_server,,,,,no,,local_boot_use_flavor_disk,,0,db_to_server_conversion;disk_fit;db_size_gb=5;datastore=percona:8.0,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) note=disk_fit,gp.0.2.4 (4daf46f4-69f8-4057-9873-9160a93b1b0d) note=disk_fit,gp.0.1.4 (8145e6d5-0b75-446c-96d7-e13fbc0610fa) note=disk_fit
database_instance,iad,IAD,drupal,drupal,0e0c1ccf-e8be-4e40-8e04-772307364118,yes,,,,,5,,,,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 22.04,db_instance_to_linux_server,,,,,no,,local_boot_use_flavor_disk,,0,db_to_server_conversion;disk_fit;db_size_gb=5;datastore=mysql:5.7,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) note=disk_fit,gp.0.2.4 (4daf46f4-69f8-4057-9873-9160a93b1b0d) note=disk_fit,gp.0.1.4 (8145e6d5-0b75-446c-96d7-e13fbc0610fa) note=disk_fit
database_instance,iad,IAD,dbaasmariadb,dbaasmariadb,1456f7cd-0080-45e8-9617-cb797ba2ee97,yes,,,,,5,,,,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 22.04,db_instance_to_linux_server,,,,,no,,local_boot_use_flavor_disk,,0,db_to_server_conversion;disk_fit;db_size_gb=5;datastore=mariadb:10.6,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) note=disk_fit,gp.0.2.4 (4daf46f4-69f8-4057-9873-9160a93b1b0d) note=disk_fit,gp.0.1.4 (8145e6d5-0b75-446c-96d7-e13fbc0610fa) note=disk_fit
database_instance,iad,IAD,HA-Mysql8-01,HA-Mysql8-01,15794001-4db3-41bf-adbd-a00a149d02d6,yes,,,,,5,,,,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 22.04,db_instance_to_linux_server,,,,,no,,local_boot_use_flavor_disk,,0,db_to_server_conversion;disk_fit;db_size_gb=5;datastore=mysql:8.0,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) note=disk_fit,gp.0.2.4 (4daf46f4-69f8-4057-9873-9160a93b1b0d) note=disk_fit,gp.0.1.4 (8145e6d5-0b75-446c-96d7-e13fbc0610fa) note=disk_fit
database_instance,iad,IAD,HA-mariaDB-02,HA-mariaDB-02,1a36ff59-5a25-4777-a8df-aabf6cf7edb0,yes,,,,,5,,,,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 22.04,db_instance_to_linux_server,,,,,no,,local_boot_use_flavor_disk,,0,db_to_server_conversion;disk_fit;db_size_gb=5;datastore=mariadb:10.6,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) note=disk_fit,gp.0.2.4 (4daf46f4-69f8-4057-9873-9160a93b1b0d) note=disk_fit,gp.0.1.4 (8145e6d5-0b75-446c-96d7-e13fbc0610fa) note=disk_fit
